Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55386636660,59706570665,75431809346,83207215920,1.16783E+11,1.68324E+11,1.57409E+11,
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.45832E+11,7.64539E+11,9.4732E+11,1.14473E+12,1.0402E+12,1.42469E+12,1.80876E+12,
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.741739519,9.622812738,8.612546647,8.369169912,7.505685766,8.835807167,8.574231382,
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.61649E+11,6.63503E+11,8.17033E+11,9.85716E+11,8.80969E+11,1.23069E+12,1.56985E+12,
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84182728620,1.01037E+11,1.30287E+11,1.59018E+11,1.59233E+11,1.94005E+11,2.38909E+11,
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5321253863,6634081020,8192067402,10319466356,11065271082,13039546459,14706108691,
"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.01218E+11,8.24246E+11,1.02275E+12,1.22794E+12,1.15699E+12,1.59302E+12,1.96617E+12,
"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.79986641,34.01641658,33.21563902,31.64977611,29.24895803,32.605729,33.67169783,
"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.847428,24.07217568,22.86182731,22.73772532,27.44513597,28.287961,30.38188559,
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.922995005,1.220910835,0.867052724,1.592391135,1.600874305,1.470977044,1.382989666,
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697438247,2152943253,3685788752,7041317101,8323580273,6169642549,27706137699,
