Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"PPG, multilateral (DIS, current US$)",DT.DIS.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,0,883000,77814000,207849000,598866000,620267000,717452000,1123694000,1169438000,1157703000,1455228000,1522891000,2252090000,2558479000,2837910000,2797148000,2939034000,2829858000,2395761000,3303200000,2574522000,2627758000,2308191000,1756869000,2010364000,2153410000,2424987000,2870419000,2657117000,2623451000,2840921000,2471254000
"PPG, multilateral concessional (DIS, current US$)",DT.DIS.MLTC.CD,,,,,,,,,,,,,,,,,,,,,,0,883000,73801000,134922000,228631000,295585000,414558000,567848000,513565000,510986000,614450000,787628000,892183000,685990000,822436000,816026000,714609000,602404000,492775000,424214000,318698000,211917000,142843000,69438000,70452000,34300000,14301000,9426000,803000,169000,0,
"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,584324000,733823000,678141000,887627000,1165752000,1444111000,1122701000,1847458000,2761186000,2577924000,2648695000,3103290000,5500566000,4200254000,9072847000,5669281000,6213926000,5011855000,7330751000,5790290000,4741429000,3268635000,2581667000,2512741000,2169500000,3587549000,3403003000,3893419000,3310117000,4348451000,6481134000,2854463000
"PPG, bonds (DIS, current US$)",DT.DIS.PBND.CD,,,,,,,,,,,,,,,,,,,,,,0,40280000,21057000,84300000,971419000,1332989000,1064287000,781839000,450000000,277000000,260365000,894235000,2736900000,3337085000,1223785000,2777318000,3105425000,1325000000,1067000000,848000000,1486000000,100000000,1606131000,3747378000,4208000000,0,1456374000,0,0,0,3847843000,
"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,,,,,,,,,,,,,,,,,,,,,,97242000,89524000,268512000,301725000,700034000,1782347000,4604703000,4469612000,2016479000,3246863000,2622777000,5062061000,5622163000,2379538000,4976943000,4914799000,5889107000,1536833000,890007000,131173000,347999000,115000000,65000000,75000000,2161229000,17000000,215000000,27000000,46000000,673000000,655024000,140601000
"PNG, bonds (DIS, current US$)",DT.DIS.PNGB.CD,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,197575000,332000000,0,543889000,128786000,1518000000,469000000,0,390000000,475647000,90000000,175000000,736915000,1622145000,1945000000,740000000,0,925000000,11820721000,12949528000,
"PNG, commercial banks and other creditors (DIS, current US$)",DT.DIS.PNGC.CD,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7665000000,6692000000,5694353000,14297000000,20441353000,16839000000,17829855000,18301000000,29037000000,32739000000,16242000000,20476951000,8385032000,
"PPG, other private creditors (DIS, current US$)",DT.DIS.PROP.CD,,,,,,,,,,,,,,,,,,,,,,1119034000,975351000,1408119000,1091093000,2442882000,2172294000,1252505000,1966484000,3214636000,3563596000,3126918000,7247964000,5367392000,6234221000,6167149000,7623643000,7249318000,2805298000,2943366000,5154069000,1803334000,1187180000,475011000,270225000,1237002000,2673001000,2056000000,1529000000,3125000000,5104000000,4564986000,
"PPG, private creditors (DIS, current US$)",DT.DIS.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,1216276000,1105155000,1697688000,1477118000,4114335000,5287630000,6921495000,7217935000,5681115000,7087459000,6010060000,13204260000,13726455000,11950844000,12367877000,15315760000,16243850000,5667131000,4900373000,6133242000,3637333000,1402180000,2146142000,4092603000,7606231000,2690001000,3727374000,1556000000,3171000000,5777000000,9067853000,140601000
"External debt stocks, concessional (DOD, current US$)",DT.DOD.ALLC.CD,,,,,,,,,,,,,,,,,,,,,,65560000,489451000,924569000,1406287000,2457385000,3693454000,5307330000,6305462000,7847148000,9718391000,10764869000,11432167000,13449280000,15959537000,17971768000,18721525000,18101275000,29694676000,32835202000,30264472000,29527546000,29954355000,32803591000,38787363000,33321014000,34265333000,37677094000,41043974000,43296376000,38831886000,38478990000,
Concessional debt (% of total external debt),DT.DOD.ALLC.ZS,,,,,,,,,,,,,,,,,,,,,,1.1307,5.8547,9.6192,11.633,14.7157,15.5715,15.0181,14.8577,17.4643,17.5735,17.8643,15.7842,15.6519,15.887,15.2187,14.5334,12.3392,20.6239,22.1017,20.7792,16.0424,16.1744,15.8828,15.773,11.762,10.6046,10.0887,10.7964,9.77,6.9548,5.6139,
"PPG, bilateral (DOD, current US$)",DT.DOD.BLAT.CD,,,,,,,,,,,,,,,,,,,,,,931756000,1534716000,2103622000,2541087000,3740595000,5217759000,6643584000,6782740000,7256890000,8402928000,9497148000,10491151000,13649710000,15385420000,20679735000,21737430000,20781690000,22840554000,26569932000,24563118000,23688991000,23383077000,25339244000,30950687000,26007594000,26595718000,29065769000,32693110000,35150540000,31113082000,32201798000,
"PPG, bilateral concessional (DOD, current US$)",DT.DOD.BLTC.CD,,,,,,,,,,,,,,,,,,,,,,65560000,488569000,851461000,1208848000,1989090000,2864734000,3897175000,4399365000,5459966000,6599102000,6990287000,7041073000,8164618000,9728687000,10791977000,11006366000,10147471000,20749470000,23661989000,21443926000,20835025000,20496915000,22453370000,28116973000,23580509000,24268631000,27526110000,31257960000,33775365000,29831844000,30989907000,
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,5798016000,8359970000,9611696000,12088825000,16699019000,23719324000,35339512000,42438956000,44932462000,55301411000,60259176000,72427953000,85927702000,1.00457E+11,1.1809E+11,1.28817E+11,1.46697E+11,1.43982E+11,1.48564E+11,1.45648E+11,1.84059E+11,1.85196E+11,2.06535E+11,2.4591E+11,2.83293E+11,3.23117E+11,3.73457E+11,3.80165E+11,4.43155E+11,5.58344E+11,6.85418E+11,
Total change in external debt stocks (current US$),DT.DOD.DECT.CD.CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2493506000,10368949000,4957765000,12168777000,13499749000,14529154000,17632932000,10727298000,17879872000,-2714995000,4582134000,-2916129000,38410938000,1137358000,21338545000,39375453000,37383094000,39824051000,50339969000,6707464000,62990292000,1.15189E+11,1.27074E+11,
"External debt stocks (% of exports of goods, services and primary income)",DT.DOD.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,33.80634073,38.85868607,42.08614747,56.33756958,77.30444872,88.02528707,89.56956586,90.37645473,91.57227236,86.55813379,85.80291072,94.17560115,80.41823916,77.47085194,71.9664607,68.88830565,67.59462696,64.79196883,49.86042413,59.60514707,49.55226012,41.21431307,36.22384834,34.98609715,31.43099406,27.89425634,23.68106767,32.38058483,31.18997225,32.00366228,
External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,2.988866592,4.10689833,4.18602445,4.668110148,5.430439997,7.964612742,13.08109229,13.71823541,13.05407092,15.44767097,15.8448079,17.12609466,19.56384241,17.99693772,16.48761717,15.26906095,15.57873537,14.35778223,13.94568755,12.30332931,14.09729861,12.87084082,12.64663723,12.75387683,12.64249502,11.93393663,10.66455565,8.37454686,8.865662322,9.456035685,9.380764198,
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,884059000,837842000,324059000,303401000,339991000,1071882000,1155347000,1012624000,907536000,469216000,0,0,0,0,0,0,0,0,325010000,308529000,297594000,321934000,351878000,367753000,338451000,356242000,374203000,364736000,10957633000,10764299000,10731028000,
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,4913957000,5222128000,5303637000,6185424000,9940028000,16571442000,25963165000,32620332000,37117926000,45515195000,49479176000,58662953000,70631702000,82973856000,95764338000,1.0341E+11,1.15233E+11,1.26642E+11,1.33059E+11,1.32259E+11,1.27461E+11,1.19194E+11,1.1809E+11,1.29773E+11,1.34688E+11,1.49384E+11,1.69385E+11,1.92612E+11,1.91688E+11,2.00056E+11,1.97776E+11,
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,200401000,555514000,582652000,1089863000,1149828000,2411592000,27242623000,37688000000,37789000000,36744000000,31839000000,35030000000,42158000000,50492000000,63666000000,82284000000,1.01774E+11,97650129000,1.10847E+11,1.06112E+11,
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,,,,,,,,,,,,,,,,,,,,,,4913957000,5222128000,5303637000,6185424000,9940028000,16571442000,25963165000,32620332000,37117926000,45515195000,49479176000,58462552000,70076188000,82391204000,94674475000,1.0226E+11,1.12821E+11,99399340000,95371087000,94470439000,90717312000,87355330000,83059931000,87614509000,84195905000,85718165000,87101173000,90837907000,94038370000,89208849000,91663719000,
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,,,,,,,,,,,,,,,,,,,,,,0,2300000000,3984000000,5600000000,6419000000,6076000000,8221000000,8806000000,6907000000,9317000000,10780000000,13765000000,15296000000,17483000000,22325450000,25407080000,31464000000,17340000000,15180000000,13080000000,56300000000,65680000000,88093000000,1.1577E+11,1.48267E+11,1.73377E+11,2.03698E+11,1.87188E+11,2.40509E+11,3.47524E+11,4.76911E+11,
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,,,,,,,,,,,,,,,,,,,,,,,13.40990508,20.08904949,26.31400386,38.02488935,37.00946011,36.61423461,37.07552672,29.96196073,27.02486092,22.38138873,55.38648672,55.93074823,30.25717299,27.80655802,22.73993429,21.48475822,11.34497694,9.40438611,7.615139568,25.58430622,22.05955468,21.16605591,18.58419922,17.83320701,16.04220114,13.17270143,9.521080166,9.805091627,11.92719257,14.65311064,
"Short-term debt (% of exports of goods, services and primary income)",DT.DOD.DSTC.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.31064356,16.86511262,15.21459902,11.66023585,17.5735798,19.41323099,22.25829273,
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,,,,,,,,,,,,0,27.5121,41.4495,46.3238,38.4394,25.6162,23.2629,20.7498,15.372,16.8477,17.8894,19.0051,17.801,17.4035,18.9055,19.7234,21.4483,12.0432,10.2178,8.9806,30.588,35.4651,42.6529,47.0781,52.3369,53.6576,54.5438,49.2386,54.272,62.2419,69.5796,
Debt forgiveness grants (current US$),DT.DOD.MDRI.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PPG, IBRD (DOD, current US$)",DT.DOD.MIBR.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,4013000,73287000,498208000,965355000,1427332000,1831486000,2329622000,2865140000,3493654000,3751945000,4549049000,5933288000,7209433000,7615907000,8238641000,9644393000,10400447000,11118246000,11549545000,11254207000,10656808000,11034761000,11139798000,11415040000,11761514000,12464003000,12756051000,12961701000,13021286000,
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,882000,66840000,180718000,431436000,773790000,1329862000,1819175000,2295590000,3015850000,3671617000,4286452000,5160333000,6097247000,7038442000,7578816000,7830412000,8693204000,8907275000,8771126000,8653699000,9422659000,10314369000,10670390000,9740505000,9996702000,10150984000,9786014000,9521011000,9000042000,7489083000,
"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,0,882000,77121000,270726000,983492000,1810085000,2852359000,3753064000,4782515000,6111360000,7576043000,8613605000,10689712000,13587847000,16301885000,17695140000,18973283000,22283407000,23855612000,25811290000,26860630000,27421303000,26235967000,26525446000,26413259000,27737948000,29257621000,30655488000,33207050000,35119852000,34638446000,
Multilateral debt (% of total external debt),DT.DOD.MLAT.ZS,,,,,,,,,,,,,,,,,,,,,,0,0.0106,0.8024,2.2395,5.8895,7.6313,8.0713,8.8434,10.6438,11.051,12.5724,11.8927,12.4404,13.5261,13.8047,13.7366,12.9337,15.4765,16.0575,17.7217,14.5935,14.8066,12.7029,10.7866,9.3236,8.5845,7.8343,8.0637,7.4933,6.29,5.0536,
"PPG, multilateral concessional (DOD, current US$)",DT.DOD.MLTC.CD,,,,,,,,,,,,,,,,,,,,,,0,882000,73108000,197439000,468295000,828720000,1410155000,1906097000,2387182000,3119289000,3774582000,4391094000,5284662000,6230850000,7179791000,7715159000,7953804000,8945206000,9173213000,8820546000,8692521000,9457440000,10350221000,10670390000,9740505000,9996702000,10150984000,9786014000,9521011000,9000042000,7489083000,
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,,,,,,,,,,,,,,,,,,,,,,0,882000,70853000,254005000,929644000,1739145000,2757194000,3650661000,4625212000,5880990000,7165271000,8038397000,9709382000,12030535000,14247875000,15194723000,16069053000,18337597000,19307722000,19889372000,20203244000,20676866000,20971177000,21705151000,20880303000,21411742000,21912498000,22250017000,22277062000,21961743000,20510369000,
"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,931756000,1535598000,2180743000,2811813000,4724087000,7027844000,9495943000,10535804000,12039405000,14514288000,17073191000,19104756000,24339422000,28973267000,36981620000,39432570000,39754973000,45123961000,50425544000,50374408000,50549621000,50804380000,51575211000,57476133000,52420853000,54333666000,58323390000,63348598000,68357590000,66232934000,66840244000,
"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD,,,,,,,,,,,,,,,,,,,,,,33540000,59390000,64845000,139610000,1234033000,2810733000,4498172000,5181519000,5227888000,5425470000,5659858000,5448724000,7715069000,11087070000,10683870000,11105996000,12615891000,13941000000,11029000000,11371000000,11851787000,10567773000,11167000000,13768632000,16038550000,16341572000,16525570000,15727847000,11625546000,10273310000,11544793000,
"PPG, commercial banks (DOD, current US$)",DT.DOD.PCBK.CD,,,,,,,,,,,,,,,,,,,,,,632173000,368811000,406046000,546485000,775938000,1779779000,6087343000,10393431000,11431680000,14520220000,14963374000,17913273000,20678254000,21475196000,23869148000,24437097000,34873079000,24397480000,13482130000,10619090000,6759904000,6062421000,5118913000,3433966000,3247409000,3763478000,3029758000,2867687000,2735039000,2201995000,2455752000,
"PNG, bonds (DOD, current US$)",DT.DOD.PNGB.CD,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,200401000,555514000,582652000,1089863000,1149828000,2411592000,1197623000,1247528000,1067877000,1535818000,1539820000,1620482000,2326099000,3573777000,5278671000,6017704000,5970197000,7020414000,17975721000,30025249000,
"PNG, commercial banks and other creditors (DOD, current US$)",DT.DOD.PNGC.CD,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26045000000,36440472000,36721123000,35208182000,30299180000,33409518000,39831901000,46918223000,58387329000,76266296000,95804000000,90629715000,92871279000,76087106000,
"PPG, other private creditors (DOD, current US$)",DT.DOD.PROP.CD,,,,,,,,,,,,,,,,,,,,,,3316488000,3258329000,2652003000,2687516000,3205970000,4953086000,5881707000,6509578000,8418953000,11055217000,11782753000,15995799000,17343443000,20855671000,23139837000,27284515000,25577423000,15936899000,20434413000,22105941000,21556000000,19920756000,15198807000,12935778000,12489093000,11279449000,9222455000,8893775000,11320195000,10500610000,10822930000,
"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,47049000,66179000,74216000,249986000,767338000,1265343000,2191579000,2246714000,3492813000,27242623000,37688000000,37789000000,36744000000,31839000000,35030000000,42158000000,50751000000,63910250000,82456358000,1.01932E+11,97792987000,1.10976E+11,1.05628E+11,
"PPG, private creditors (DOD, current US$)",DT.DOD.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,3982201000,3686530000,3122894000,3373611000,5215941000,9543598000,16467222000,22084528000,25078521000,31000907000,32405985000,39357796000,45736766000,53417937000,57692855000,62827608000,73066393000,54275379000,44945543000,44096031000,40167691000,36550950000,31484720000,30138376000,31775052000,31384499000,28777783000,27489309000,25680780000,22975915000,24823475000,
"External debt stocks, long-term public sector (DOD, current US$)",DT.DOD.PUBS.CD,,,,,,,,,,,,,,,,,,,,,,4913957000,5222128000,5303637000,6185424000,9940028000,16571442000,25963165000,32620332000,37070877000,45449016000,49404960000,58412967000,69864364000,81708513000,93572759000,1.01163E+11,1.1174E+11,99399340000,95371087000,94470439000,90717312000,87355330000,83059931000,87614509000,83936905000,85473915000,86928815000,90680299000,93895512000,89079597000,92148073000,
Present value of external debt (current US$),DT.DOD.PVLX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.50933E+11,
"Present value of external debt (% of exports of goods, services and primary income)",DT.DOD.PVLX.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.84241909,
Present value of external debt (% of GNI),DT.DOD.PVLX.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.72387696,
"Residual, debt stock-flow reconciliation (current US$)",DT.DOD.RSDL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180811360.3,686871614.6,-1561289453,-1435661511,-2097926996,110645428,250232046.2,584201440.8,2875332627,9217539750,5367160838,2673532275,582741100.7,-5978441698,-86720427.1,2349449948,334291917.3,5083108503,1664535519,7544147938,19315108384,-4898918627,25300702.1,
"External debt stocks, variable rate (DOD, current US$)",DT.DOD.VTOT.CD,,,,,,,,,,,,,,,,,,,,,,2630186000,1840123000,1462270000,1337399000,2337769000,4064571000,8848539000,12528251000,13901227000,16490820000,16808994000,17288955000,20623905000,23272121000,28370002000,30651577000,45217225000,62139258000,60538308000,61733083000,59388484000,53732164000,55123250000,61954266000,71157983000,86049609000,1.05399E+11,1.264E+11,1.22829E+11,1.36693E+11,1.33601E+11,
Debt buyback (current US$),DT.DSB.DPPG.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Debt stock reduction (current US$),DT.DSF.DPPG.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Debt stock rescheduled (current US$),DT.DXR.DPPG.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2339067000,0,
Average grace period on new external debt commitments (years),DT.GPA.DPPG,,,,,,,,,,,,,,,,,,,,,,3.5813,5.5863,4.4564,4.7071,4.1372,4.5202,4.052,3.7356,4.5781,3.8994,4.769,3.4691,3.9052,4.9844,2.9146,2.8851,3.23,5.1886,4.8378,3.4077,4.2173,3.0253,6.0146,7.1771,5.4168,4.2592,3.7636,4.3041,4.1043,5.1728,15.7125,
"Average grace period on new external debt commitments, official (years)",DT.GPA.OFFT,,,,,,,,,,,,,,,,,,,,,,6.5307,8.3441,6.938,7.0213,6.7857,6.4917,6.6654,7.0582,6.7693,7.8597,6.7128,5.7115,5.2752,6.0325,3.7129,4.528,3.9423,5.5886,6.0594,4.9059,4.7039,4.9721,5.4225,5.2144,5.4837,5.6566,5.3955,5.7965,5.835,6.1972,5.9624,
"Average grace period on new external debt commitments, private (years)",DT.GPA.PRVT,,,,,,,,,,,,,,,,,,,,,,1.7354,2.1824,1.9073,2.6459,3.2794,3.9005,3.4581,2.7054,3.0493,2.7229,2.6883,2.6628,3.301,4.2015,2.3656,2.4278,2.9446,4.9012,4.3389,2.9659,4.0634,1.8319,6.6073,8.4311,5.3927,0.9167,2.067,1.1466,0.9167,4.2992,23.8423,
Average grant element on new external debt commitments (%),DT.GRE.DPPG,,,,,,,,,,,,,,,,,,,,,,14.202,25.5212,17.3845,17.8354,13.5442,19.6994,19.106,15.4789,17.2248,15.6209,25.0994,19.2816,22.0774,25.4447,15.3646,14.2185,14.761,26.2371,25.7494,21.1084,25.3693,28.5278,42.2168,39.1011,30.149,29.0488,26.1733,38.7183,47.739,66.898,57.7128,
"Average grant element on new external debt commitments, official (%)",DT.GRE.OFFT,,,,,,,,,,,,,,,,,,,,,,31.6576,45.2869,33.7259,32.2406,32.3452,34.5523,40.3054,37.4709,31.5723,49.1545,36.3747,31.133,31.8259,30.402,18.9957,27.6896,21.1625,27.8277,31.5674,17.533,26.8788,38.2629,56.0226,52.0353,39.2812,31.3645,30.7888,45.8676,60.8944,58.7781,49.8382,
"Average grant element on new external debt commitments, private (%)",DT.GRE.PRVT,,,,,,,,,,,,,,,,,,,,,,3.2772,1.1246,0.5987,5.0056,7.4548,15.0313,14.288,8.6602,7.2148,5.6584,13.0297,15.0201,17.7786,21.7415,12.8674,10.4684,12.1969,25.0939,23.3736,22.1629,24.8917,22.56,28.4,30.838,26.8628,23.5096,21.3748,23.5928,23.5096,73.8234,64.2788,
Average interest on new external debt commitments (%),DT.INR.DPPG,,,,,,,,,,,,,,,,,,,,,,7.9201,6.8359,7.5239,7.2463,7.4456,6.4431,6.6057,7.2217,7.3092,7.4822,6.1432,6.232,5.4508,5.4971,6.5071,6.6189,6.4728,5.7471,5.6682,6.2218,5.4937,5.1983,3.1331,3.7569,4.5105,5.314,4.8056,3.8224,2.8852,6.5358,11.0938,
"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,,,,,,,,,,,,5.1758,4.3016,5.5992,5.7603,5.8239,5.4592,4.8574,5.0064,5.7607,3.7427,5.1781,5.4922,5.1411,5.5762,6.8293,5.8828,6.6275,5.9308,5.5662,7.246,5.8494,4.2304,1.9025,2.47,4.334,5.4453,5.4404,3.4699,1.7369,1.9359,2.9653,
"Average interest on new external debt commitments, private (%)",DT.INR.PRVT,,,,,,,,,,,,,,,,,,,,,,9.6377,9.9638,9.5009,8.5699,7.9708,6.7524,7.003,7.9085,8.3896,8.5932,7.1762,6.4981,5.5874,5.4379,6.2855,6.8238,6.4109,5.615,5.7099,5.9197,5.3811,5.7916,4.3646,4.5791,4.574,5,4.1458,4.5682,5,10.459,17.8715,
"PPG, bilateral (INT, current US$)",DT.INT.BLAT.CD,,,,,,,,,,,,,,,,,,,,,,55130000,81305000,101052000,121413000,142300000,186684000,276472000,290497000,277726000,305385000,371064000,358308000,450314000,650929000,668771000,626026000,1054858000,995518000,968526000,867315000,765620000,518122000,794372000,992485000,694745000,493220000,595914000,398216000,357858000,1321454000,1195481000,1279689000
"PPG, bilateral concessional (INT, current US$)",DT.INT.BLTC.CD,,,,,,,,,,,,,,,,,,,,,,1055000,11543000,22323000,29357000,43160000,70306000,102163000,119107000,137063000,193017000,271265000,281255000,304632000,330203000,323519000,293045000,342220000,965733000,778997000,635470000,546442000,418340000,616589000,790373000,534856000,422211000,458012000,314481000,279082000,1249312000,1127901000,
"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,539179000,822655000,820972000,997994000,1181891000,1063865000,1814676000,2196513000,3206312000,3248248000,3729629000,3404903000,3439122000,4791933000,5996225000,5495966000,6918225000,7225807000,7090246000,7244792000,7988784000,6375391000,7245648000,6972965000,6529513000,9375194000,11418466000,9300762000,6355422000,34127608000,38729236000,
"Interest payments on external debt (% of exports of goods, services and primary income)",DT.INT.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,3.326681224,3.319070144,3.474425567,3.987351979,3.467278297,4.520078711,4.635851924,6.449126053,5.378695501,5.357353807,4.033671753,3.769231275,3.836062857,3.93372422,3.07044068,3.248770832,3.392270243,3.092207384,2.480147212,2.587066584,1.705839126,1.4458793,1.027153664,0.806380281,0.911964693,0.85286739,0.579359139,0.464379777,1.906421246,1.808352282,
Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,0.277945784,0.404135475,0.357544482,0.38537624,0.384345222,0.357230785,0.67171115,0.710014695,0.931518603,0.90735237,0.980684751,0.805113063,0.783012222,0.858479184,0.837188921,0.65145271,0.734692784,0.720552499,0.665560235,0.611989738,0.611870819,0.443079363,0.443668949,0.361645488,0.291391711,0.346261045,0.326068981,0.204883932,0.127145149,0.57798023,0.530055786,
"IMF charges (INT, current US$)",DT.INT.DIMF.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,21210000,33638000,21294000,1587000,1573000,1817000,49659000,51105000,67100000,65497000,23851000,0,0,0,0,0,0,0,12545000,13556000,6723000,6149000,5200000,7791000,10255000,14499000,12798000,2991000,25203000,34446000,11804000,
"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,517969000,541017000,522678000,610107000,586618000,645048000,1125017000,1611308000,2511212000,2533791000,2952141000,2708203000,2630122000,3843933000,4656698000,4684513000,5553320000,5574586000,5937340000,6063551000,6247311000,4230217000,4618589000,4002594000,3217545000,3819595000,5464168000,4811771000,3122491000,6291242000,7915512000,7729816000
"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,11719000,26213000,33247000,53231000,55370000,963042000,2195000000,1924000000,1916000000,1155000000,1321000000,954350000,1017000000,1514000000,2227000000,2220401000,1014979000,3665025000,5118999000,4709880000
"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,,,,,,,,,,,,,,,,,,,,,,517969000,541017000,522678000,610107000,586618000,645048000,1125017000,1611308000,2511212000,2533791000,2952141000,2708203000,2618403000,3817720000,4623451000,4631282000,5497950000,4611544000,3742340000,4139551000,4331311000,3075217000,3297589000,3048244000,2200545000,2305595000,3237168000,2591370000,2107512000,2626217000,2796513000,
"Interest payments on external debt, short-term (INT, current US$)",DT.INT.DSTC.CD,,,,,,,,,,,,,,,,,,,,,,0,248000000,277000000,386300000,593700000,417000000,640000000,534100000,628000000,648960000,753637000,696700000,809000000,948000000,1339527000,811453000,1364905000,1651221000,1140361000,1167685000,1734750000,2139025000,2621859000,2962580000,3301713000,5541100000,5941500000,4486000000,3207728000,27801920000,30801920000,
"PPG, IBRD (INT, current US$)",DT.INT.MIBR.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2774000,5593000,25501000,66343000,111421000,125511000,161199000,199700000,227150000,264314000,298768000,364173000,459532000,496488000,506802000,544981000,636985000,712875000,732962000,592673000,378305000,241829000,351321000,541557000,652676000,552585000,362657000,143433000,132242000,
"PPG, IDA (INT, current US$)",DT.INT.MIDA.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,512000,3476000,3842000,8398000,12149000,15228000,13850000,18504000,22844000,28676000,34318000,41396000,49391000,52406000,55557000,58706000,64405000,65352000,63949000,66943000,72125000,77635000,78630000,73754000,73886000,79080000,69147000,67073000,71549000,
"PPG, multilateral (INT, current US$)",DT.INT.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,0,0,3338000,9300000,29921000,75780000,125848000,143141000,178996000,225811000,262504000,319433000,376473000,479687000,619184000,684234000,730459000,817117000,964779000,1518460000,1808176000,1149041000,804950000,865726000,680090000,935379000,1104674000,1008875000,732611000,522138000,636746000,792391000
